sentenca_a	sentenca_b	conflito
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Competition fraud is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	yes
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Everyone must be treated with equality and transparency.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
A work team leader cannot abuse their powers or authority.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
All work team members must have equal opportunities.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Workplace haressment is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Competition fraud is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	yes
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Everyone must be treated with equality and transparency.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
A work team leader cannot abuse their powers or authority.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
All work team members must have equal opportunities.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Workplace haressment is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Competition fraud is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	yes
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Everyone must be treated with equality and transparency.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
A work team leader cannot abuse their powers or authority.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
All work team members must have equal opportunities.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Workplace haressment is prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Competition fraud is prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, does a comercial trade with no relation with the company aiming to get benefit in public bidding.	yes
