conduct	complaint	nli_class	nli_contradiction_score	nli_entailment_score	nli_neutral_score	conflict
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.9115843772888184	0.0018181316554546356	0.0865975096821785	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8631892800331116	0.0020936867222189903	0.1347169727087021	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7426495552062988	0.009027210995554924	0.2483232170343399	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8098960518836975	0.006859359797090292	0.1832444965839386	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.9915825724601746	0.00025636234204284847	0.00816110335290432	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.5315015912055969	0.009640030562877655	0.4588584005832672	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8472147583961487	0.003193406853824854	0.14959189295768738	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.9324438571929932	0.0027358857914805412	0.06482022255659103	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.059826258569955826	0.4426844120025635	0.49748924374580383	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.980146586894989	0.0008264057687483728	0.019026964902877808	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7987715005874634	0.005643478594720364	0.19558502733707428	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.006784860044717789	0.015005113556981087	0.9782100319862366	no
Competition fraud is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.6260057091712952	0.015709925442934036	0.3582844138145447	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7760094404220581	0.03202582523226738	0.19196470081806183	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7946800589561462	0.026726681739091873	0.1785932183265686	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7806782722473145	0.018910376355051994	0.20041145384311676	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.36188098788261414	0.04096773639321327	0.5971512794494629	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.860480546951294	0.020285796374082565	0.11923366039991379	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7518024444580078	0.028911640867590904	0.21928590536117554	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.3167107105255127	0.004818160552531481	0.6784711480140686	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.7458624839782715	0.005037697963416576	0.24909983575344086	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.8583472371101379	0.010579358786344528	0.13107332587242126	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.9276853799819946	0.01971445046365261	0.052600227296352386	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	neutral	0.292316734790802	0.01822586916387081	0.689457356929779	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	entailment	0.04663451015949249	0.5878486037254333	0.36551687121391296	yes
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, uses the name of the company in contributions to political parties, with no authorization.	contradiction	0.9984064698219299	0.00026793708093464375	0.0013256588717922568	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.9083558320999146	0.006021956913173199	0.08562225103378296	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.21874672174453735	0.00818835198879242	0.773064911365509	no
Everyone must be treated with equality and transparency.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.16252203285694122	0.010092654265463352	0.8273853063583374	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2211494743824005	0.006227245554327965	0.7726233601570129	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.5428346991539001	0.010804692283272743	0.44636058807373047	no
A work team leader cannot abuse their powers or authority.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.1318383812904358	0.005944001022726297	0.8622176051139832	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.3376671075820923	0.014808809384703636	0.6475241184234619	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.10004076361656189	0.016513027250766754	0.883446216583252	no
All work team members must have equal opportunities.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.16345807909965515	0.011912892572581768	0.824629008769989	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.3302690386772156	0.014461209997534752	0.6552698016166687	no
Workplace haressment is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.9627301096916199	0.002520068548619747	0.03474987670779228	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.26518747210502625	0.010367214679718018	0.7244454026222229	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2366623878479004	0.011999400332570076	0.7513381838798523	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.6766307950019836	0.007633014116436243	0.31573623418807983	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.1719588339328766	0.0072071547619998455	0.8208339810371399	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.15970928966999054	0.012658621184527874	0.8276320695877075	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.25090938806533813	0.013767918571829796	0.7353226542472839	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.964730441570282	0.0009210882126353681	0.034348513931035995	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.16832779347896576	0.01667226478457451	0.8149999380111694	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.8139557242393494	0.006222403142601252	0.17982187867164612	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.32600584626197815	0.011996356770396233	0.6619977951049805	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.7448028922080994	0.00986382644623518	0.2453332096338272	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.36511000990867615	0.007847999222576618	0.6270419955253601	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.39820870757102966	0.016624147072434425	0.5851671695709229	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.08583888411521912	0.01287877932190895	0.9012823700904846	no
Competition fraud is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.16677197813987732	0.019416291266679764	0.8138117790222168	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.19361469149589539	0.013232575729489326	0.7931527495384216	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.20190681517124176	0.03554192930459976	0.7625512480735779	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.13796298205852509	0.026048162952065468	0.8359888195991516	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2103441059589386	0.015206868760287762	0.7744490504264832	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.3580344021320343	0.021294938400387764	0.6206706762313843	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2567916810512543	0.036995779722929	0.7062125205993652	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2376285046339035	0.00568566657602787	0.7566858530044556	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.13490068912506104	0.005755163263529539	0.8593441247940063	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.23804910480976105	0.015638725832104683	0.746312141418457	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	neutral	0.2754298448562622	0.045280832797288895	0.6792892813682556	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.5035176277160645	0.018148181959986687	0.47833412885665894	yes
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.787074625492096	0.022780558094382286	0.190144881606102	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, receives a direct payment from company costumer to work directly for the customer, without company knowledge.	contradiction	0.853348970413208	0.022479340434074402	0.12417163699865341	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.3642362058162689	0.04119259864091873	0.5945712327957153	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.2936600148677826	0.016566941514611244	0.6897730231285095	no
Everyone must be treated with equality and transparency.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.1717478185892105	0.02690781094133854	0.8013443946838379	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.3757874369621277	0.0170808844268322	0.6071316599845886	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.07407648116350174	0.013395805843174458	0.9125276803970337	no
A work team leader cannot abuse their powers or authority.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.08895806223154068	0.010830961167812347	0.900210976600647	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.04324302822351456	0.02094540186226368	0.9358115196228027	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.08989028632640839	0.03551492094993591	0.8745948076248169	no
All work team members must have equal opportunities.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.10308653116226196	0.019317161291837692	0.8775963187217712	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.1251804381608963	0.015626773238182068	0.8591927289962769	no
Workplace haressment is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.773436427116394	0.048151202499866486	0.17841234803199768	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.23490124940872192	0.016953714191913605	0.7481449842453003	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.35965949296951294	0.026058658957481384	0.6142818927764893	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.5402852296829224	0.018606901168823242	0.44110777974128723	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.8541456460952759	0.0045795137993991375	0.14127476513385773	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.24004574120044708	0.05549874156713486	0.7044554948806763	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.2983989119529724	0.0387456938624382	0.662855327129364	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.6317940950393677	0.009139860048890114	0.35906609892845154	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.1009252592921257	0.02309413067996502	0.8759806752204895	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.6128669381141663	0.027427317574620247	0.35970571637153625	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.28830447793006897	0.027335476130247116	0.6843600273132324	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.18193857371807098	0.060130298137664795	0.757931113243103	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.8838322162628174	0.011699809692800045	0.10446792095899582	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.4155206084251404	0.0319354385137558	0.5525439977645874	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.19666244089603424	0.033511653542518616	0.7698258757591248	no
Competition fraud is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.14047393202781677	0.07402680814266205	0.7854992151260376	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.14879180490970612	0.06252055615186691	0.7886876463890076	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.19013099372386932	0.10708558559417725	0.7027834057807922	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.18350885808467865	0.07326798141002655	0.7432231307029724	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.25895559787750244	0.04677401855587959	0.6942703723907471	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.15997585654258728	0.08238223195075989	0.7576419115066528	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.10558157414197922	0.07684844732284546	0.8175699710845947	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.0597367025911808	0.009050464257597923	0.9312127828598022	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.10817364603281021	0.009744747541844845	0.8820815682411194	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.034996796399354935	0.012451695278286934	0.952551543712616	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.0867483839392662	0.01910005509853363	0.8941515684127808	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.0676078349351883	0.01108703576028347	0.9213051795959473	yes
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	neutral	0.0670633539557457	0.025559978559613228	0.9073766469955444	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, sells company products for a costumer without passing the money from the sale to the company.	contradiction	0.5034392476081848	0.027337707579135895	0.4692230224609375	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.2580389082431793	0.006452635396271944	0.7355085015296936	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	contradiction	0.5330159068107605	0.005140600726008415	0.46184343099594116	no
Everyone must be treated with equality and transparency.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.41895365715026855	0.005515517201274633	0.5755308866500854	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	contradiction	0.5061043500900269	0.00412490451708436	0.48977071046829224	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	contradiction	0.5293285250663757	0.004480048082768917	0.4661914110183716	no
A work team leader cannot abuse their powers or authority.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	contradiction	0.5643450021743774	0.0043010348454117775	0.43135398626327515	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.0816577821969986	0.005263565108180046	0.9130786657333374	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.29164162278175354	0.007560104131698608	0.7007982134819031	no
All work team members must have equal opportunities.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.3416471481323242	0.007481156382709742	0.650871753692627	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.13341353833675385	0.005107093136757612	0.8614793419837952	no
Workplace haressment is prohibited.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.13410475850105286	0.009385759010910988	0.8565095067024231	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.44603708386421204	0.0057152374647557735	0.548247754573822	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.43062275648117065	0.006344651337713003	0.5630325675010681	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.24210800230503082	0.004271118436008692	0.7536208629608154	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.0633922591805458	0.0020866284612566233	0.9345210790634155	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.15770269930362701	0.005517610348761082	0.8367797136306763	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.28733283281326294	0.004364660941064358	0.7083024978637695	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.2569175064563751	0.0064621311612427235	0.7366203665733337	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.34871894121170044	0.006621658802032471	0.6446594595909119	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.30851683020591736	0.00568070774897933	0.6858024597167969	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.11343048512935638	0.004317781887948513	0.8822516798973083	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.17079631984233856	0.004415685776621103	0.8247880339622498	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, does a payment in cash for B, public agent, aiming to get an illegal environmental licensing.	neutral	0.3635270595550537	0.0029276139102876186	0.6335453391075134	no
